timedate_PDT_PST,ubar,vbar,Vmag,PC1,,used?,,
2023-05-31 17:00:00 PDT,0.013314982,-0.014012271,0.019329575,-0.028696769,,,,
2023-05-31 18:00:00 PDT,0.020269778,-0.036622312,0.041857587,-0.052120316,,,,
2023-05-31 19:00:00 PDT,0.024038678,-0.056614701,0.061506767,-0.072456838,,,,from march 12th to november 5th 2023 we were on PDT
2023-05-31 20:00:00 PDT,0.023203414,-0.043372333,0.049189,-0.059248317,,,,from novemeber 5th 2023 to March 10th 2024 we were on PST
2023-05-31 21:00:00 PDT,0.029923799,-0.040095624,0.050030918,-0.057071663,,,,
2023-05-31 22:00:00 PDT,0.026702989,-0.036157403,0.044948942,-0.052675067,,,,
2023-05-31 23:00:00 PDT,0.014905619,-0.027315201,0.031117482,-0.042084139,,,,
2023-06-01 00:00:00 PDT,0.008330799,-0.023307415,0.024751521,-0.037090268,,,,
2023-06-01 01:00:00 PDT,0.005148032,-0.006464707,0.008264059,-0.019956441,,,,
2023-06-01 02:00:00 PDT,0.002292941,-0.003367559,0.004074068,-0.016448044,,,,
2023-06-01 03:00:00 PDT,-0.002892705,-0.014732498,0.015013801,-0.026853724,,,,
2023-06-01 04:00:00 PDT,0.00213667,-0.027258867,0.02734248,-0.04001617,,,,
2023-06-01 05:00:00 PDT,0.014516941,-0.045397453,0.047662043,-0.059879174,,,,
2023-06-01 06:00:00 PDT,0.026215531,-0.064289279,0.069428852,-0.080378575,,,,
2023-06-01 07:00:00 PDT,0.030685943,-0.066930428,0.073629541,-0.08369124,,,,
2023-06-01 08:00:00 PDT,0.033711568,-0.056192692,0.065529295,-0.073564514,,,,
2023-06-01 09:00:00 PDT,0.04000888,-0.041698236,0.057788004,-0.060243619,,,,
2023-06-01 10:00:00 PDT,0.032590773,-0.010435368,0.034220687,-0.028202357,,,,
2023-06-01 11:00:00 PDT,0.01286497,0.027049379,0.029952903,0.01192268,,,,
2023-06-01 12:00:00 PDT,0.006914204,0.043439005,0.043985831,0.029045313,,,,
2023-06-01 13:00:00 PDT,0.008223556,0.054026246,0.054648533,0.039293903,,,,
2023-06-01 14:00:00 PDT,0.007526593,0.04845069,0.049031816,0.03389786,,,,
2023-06-01 15:00:00 PDT,0.00587803,0.045282695,0.045662608,0.031029261,,,,
2023-06-01 16:00:00 PDT,-0.000422728,0.034051821,0.034054444,0.020931708,,,,
2023-06-01 17:00:00 PDT,-0.009281894,0.026767472,0.028331098,0.015134559,,,,
2023-06-01 18:00:00 PDT,-0.006756425,-0.001530674,0.006927644,-0.013207967,,,,
2023-06-01 19:00:00 PDT,-0.004065483,-0.028308135,0.028598578,-0.040074889,,,,
2023-06-01 20:00:00 PDT,0.00074385,-0.037171777,0.037179219,-0.049585701,,,,
2023-06-01 21:00:00 PDT,-0.00419282,-0.030004134,0.030295673,-0.041729627,,,,
2023-06-01 22:00:00 PDT,-0.004534943,-0.018497963,0.019045743,-0.030313324,,,,
2023-06-01 23:00:00 PDT,-0.005038064,-0.006595293,0.008299396,-0.018480104,,,,
2023-06-02 00:00:00 PDT,-0.009161261,-0.002598558,0.009522668,-0.013883513,,,,
2023-06-02 01:00:00 PDT,-0.012131433,0.010046092,0.015751052,-0.000928787,,,,
2023-06-02 02:00:00 PDT,-0.014354804,0.023226406,0.027304328,0.012437216,,,,
2023-06-02 03:00:00 PDT,-0.025882697,0.033234112,0.042123867,0.024136615,,,,
